LOT_NAME,WAFER_ID,item001MIN,item001MAX,item001Value,item001Median,item001Count,item001STD,item001IQR,item001+Spec,item001-Spec,item001+Limit,item001-Limit,履歴測定｜X｜装置ID,履歴測定｜X｜JOB,履歴MES｜X｜装置ID,履歴MES｜X｜レシピNo
LOT_009,WAF_009_04,0.911,2.083,1.509,1.521,12,0.06,0.227,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_04,MES_EQ_009,REC_04
LOT_009,WAF_009_05,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_06,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_07,0.947,2.213,1.5,1.493,14,0.157,0.19,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_07,MES_EQ_009,REC_07
LOT_009,WAF_009_08,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_09,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_10,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_11,0.907,1.819,1.335,1.35,8,0.091,0.233,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_11,MES_EQ_009,REC_11
LOT_009,WAF_009_12,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_13,1.189,2.16,1.651,1.634,7,0.095,0.297,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_13,MES_EQ_009,REC_13
LOT_009,WAF_009_14,0.814,2.055,1.353,1.367,15,0.071,0.287,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_14,MES_EQ_009,REC_14
LOT_009,WAF_009_15,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_16,1.096,1.959,1.428,1.446,7,0.07,0.271,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_16,MES_EQ_009,REC_16
LOT_009,WAF_009_17,0.846,2.038,1.372,1.366,14,0.064,0.208,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_17,MES_EQ_009,REC_17
LOT_009,WAF_009_18,1.053,2.063,1.606,1.61,6,0.182,0.126,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_18,MES_EQ_009,REC_18
LOT_009,WAF_009_19,0.902,1.853,1.389,1.433,19,0.121,0.219,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_19,MES_EQ_009,REC_19
LOT_009,WAF_009_20,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_21,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_22,1.043,2.096,1.539,1.586,8,0.19,0.142,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_22,MES_EQ_009,REC_22
LOT_009,WAF_009_23,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_24,1.0,1.863,1.36,1.366,6,0.181,0.24,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_24,MES_EQ_009,REC_24
LOT_009,WAF_009_25,0.847,1.859,1.383,1.346,15,0.198,0.145,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_25,MES_EQ_009,REC_25
LOT_010,,0.818,2.299,1.586,1.58,160,0.133,0.191,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_01,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_02,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_03,1.122,2.299,1.698,1.652,9,0.191,0.104,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_03,MES_EQ_010,REC_03
LOT_010,WAF_010_04,1.087,2.042,1.509,1.491,11,0.198,0.168,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_04,MES_EQ_010,REC_04
LOT_010,WAF_010_05,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_06,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_07,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_08,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_09,0.983,2.231,1.693,1.67,13,0.166,0.167,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_09,MES_EQ_010,REC_09
LOT_010,WAF_010_10,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_11,0.858,2.144,1.505,1.455,19,0.108,0.115,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_11,MES_EQ_010,REC_11
LOT_010,WAF_010_12,0.998,1.845,1.323,1.366,8,0.091,0.151,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_12,MES_EQ_010,REC_12
LOT_010,WAF_010_13,1.024,2.136,1.663,1.666,6,0.191,0.291,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_13,MES_EQ_010,REC_13
LOT_010,WAF_010_14,0.818,1.978,1.431,1.449,10,0.149,0.171,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_14,MES_EQ_010,REC_14
LOT_010,WAF_010_15,0.909,2.13,1.55,1.559,18,0.156,0.283,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_15,MES_EQ_010,REC_15
LOT_010,WAF_010_16,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_17,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_18,1.002,2.18,1.684,1.724,10,0.121,0.255,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_18,MES_EQ_010,REC_18
LOT_010,WAF_010_19,1.073,2.275,1.581,1.558,11,0.089,0.214,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_19,MES_EQ_010,REC_19
LOT_010,WAF_010_20,1.041,2.263,1.675,1.667,20,0.083,0.219,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_20,MES_EQ_010,REC_20
LOT_010,WAF_010_21,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_22,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_010,WAF_010_23,1.131,2.205,1.761,1.764,11,0.119,0.111,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_23,MES_EQ_010,REC_23
LOT_010,WAF_010_24,1.05,1.987,1.54,1.58,14,0.065,0.23,2.5,0.5,3.0,0.0,MEAS_EQ_010,JOB_24,MES_EQ_010,REC_24
LOT_010,WAF_010_25,,,,,,,,2.5,0.5,3.0,0.0,,,,
